Source	Locus 1	Loucs 2	Locus 3	Full Gloss	Translation	IMMEDIATE CONTEXT	IMMEDIATE CONTEXT TRANSLATION	MORPH	MORPH TRANS	MORPH ANALYSIS	MORPH CONTEXT	LEMMA OF MAIN VERB	CLAUSAL SUBJECT	SUBJECT ANALYSIS	GOV CONTEXT	GOV CONTEXT TYPE	GOV CONTEXT LEMMA	GOV CONTEXT SBJ	GOV CONTEXT SBJ ANALYSIS	SBJ~MORPH COREFERENCE	SBJ~OTHER	MORPH REFLEXIVE	Note
Wb.	007c08	N/A	N/A	.i. intuile comthirchomracc sanctorum hitalam .i. inchatlach innafer asrubart et intoéntu inna ǽccalsa déde insin et hésom triuss	the whole congregation sanctorum on earth: that is, the universe of the men he has mentioned and the unity of the church, that is two, and he himself as the third	et hésom triuss	and himself the third	et hésom	himself	3sg.masc.Overt_Pronoun	PRON-SBJ	-	hésom	3sg.masc.Overt_Pronoun	N/A	N/A	N/A	N/A	N/A	≠	N/A	NO	N/A
Arm.Gloss	Gwynn.1913.472.fol.179v1	N/A	S0012-50	.i. dunaib chethrairib .i. quaternio dúx .iiii. virorum et ipse quintus	That is, to the quaternions; that is, a quaternio <is> a leader of four men, and himself the fifth.	et ipse quintus	and himself the fifth	ipse	himself	3sg.masc.Null_Pronoun_INTS	PRON-SBJ	-	ipse	sg.Noun	N/A	N/A	N/A	N/A	N/A	≠	N/A	NO	N/A
B-Brig	POMIC	bb.122	N/A	rachuala robatar da apstal deac apud dominum 7 hesom fessin in tres deac	I have heard there were twelve apostles with the Lord, and he himself the thirteenth.	7 hesom fessin in tres deac	and he himself the thirteenth	hesom fessin	he himself	3sg.masc.Overt_Pronoun_INTS	PRON-SBJ	-	hesom fessin	3pl.Overt_Pronoun	N/A	N/A	N/A	N/A	N/A	≠	N/A	NO	N/A
Calder, George 1907	176	Imtheachta Aeniasa	https://archive.org/details/imtheachtanias00virguoft/page/176/mode/2up?view=theater&q=imruagadh	adnaigh 'san imruagadh	he betook himself to flight	adnaigh 'san imruagadh	he betook himself to flight	adnaigh	he betook himself	3sg.masc.Infixed_Pronoun	PRON-OBJ	ad-aig	-	3sg.masc.Null_Pronoun	N/A	N/A	N/A	N/A	N/A	SBJ=PRON-OBJ	N/A	YES	N/A
Ml.	113b06	N/A	S0006-6887	.i. atchondarc féin	i.e. I have seen it myself.	atchondarc féin	I have seen it myself	atchondarc féin	I have seen it myself	1sg.Null_Pronoun_INTS	PRON-SBJ	ad-cí	- féin	1sg.Null_Pronoun_INTS	N/A	N/A	N/A	N/A	N/A	≠	N/A	NO	N/A
Wb.	003c13	N/A	N/A	.i. adcomla friu fessin infectso	i.e. he joins Himself to them now.	adcomla friu fessin infectso	he joins Himself to them now	adcomla	he joins himself	3sg.masc.Infixed_Pronoun	PRON-OBJ	ad-comla	-	3sg.masc.Null_Pronoun	N/A	N/A	N/A	N/A	N/A	SBJ=PRON-OBJ	N/A	YES	ADCOMLA = ATCOMLA (WITH A PERSONAL INFIX).
Wb.	003c13	N/A	N/A	.i. adcomla friu fessin infectso	i.e. he joins Himself to them now.	adcomla friu fessin infectso	he joins Himself to them now	friu fessin	to them	3pl.Null_Pronoun_INTS	PP-COMP	ad-comla	-	3sg.masc.Null_Pronoun	N/A	N/A	N/A	N/A	N/A	SBJ≠PP-COMP	N/A	NO	N/A
Wb.	004a10	N/A	N/A	.i. cenutad suíre dlegtir féich dúib et dún huili atcomlasom friu ardislemnethu de dohícc innafíach	though ye are at ease[?], debts are owed by you and by us all. He adds himself to them that they may be the willinger to pay the debts.	atcomlasom friu	He adds himself to them	atcomlasom	He adds himself	3sg.masc.Infixed_Pronoun	PRON-OBJ	ad-comla	som	3sg.masc.Overt_Pronoun	N/A	N/A	N/A	N/A	N/A	SBJ=PRON-OBJ	N/A	YES	N/A
Wb.	016a19	N/A	N/A	.i. atcomla friu ut mós est bonís doctoribus 	i.e. he joins himself to them ut etc.	atcomla friu	he joins himself to them	atcomla	he joins himself	3sg.masc.Infixed_Pronoun	PRON-OBJ	ad-comla	-	3sg.masc.Null_Pronoun	N/A	N/A	N/A	N/A	N/A	SBJ=PRON-OBJ	N/A	YES	N/A
Wb.	025b16	N/A	N/A	Pelagius : facit apostolus diem domini habere susceptum quasi eos in corpore inueniret <sup>e</sup> .i. atcomlasom híc lasnahí dofuircifea bráth imbethu et bebté et asseírset isind óinuáir	i.e. he joins himself híc with those whom the Judgment will find alive, and who will die and arise in the same hour.	atcomlasom híc lasnahí	he joins himself híc with those	atcomlasom	he joins himself	3sg.masc.Infixed_Pronoun	PRON-OBJ	ad-comla	som	3sg.masc.Overt_Pronoun	N/A	N/A	N/A	N/A	N/A	SBJ=PRON-OBJ	N/A	YES	N/A
