LEMMA,VERB TYPE,MEANING,DIL LINK,REFLEXIVE TYPE,REFLEXIVE MARKING,NOTE ON VERB,OPPOSITIONAL?,OPPOSITIONAL EXAMPLE,OPPOSITIONAL EXAMPLE TRANSLATION,OPPOSITIONAL EXAMPLE LOCUS,OPPOSITIONAL CONTEMPORARY OIR?,NOTE ON OPPOSITIONAL TRANSITIVE,REFLEXIVE MARKING IS REDUNDANT,NON-REDUNDANT EXAMPLE,NON-REDUNDANT EXAMPLE TRANSLATION,NON-REDUNDANT EXAMPLE LOCUS,NON-REDUNDANT IN CONTEMPORARY OIR?,NOTE ON NON-REDUNDANT EXAMPLE
ad-aig,COMPOUND,drive/impel/push/betake/go/proceed/set about/begin,https://dil.ie/259,translational motion,PRONOMINAL,Sometimes the infixed pronoun -tn- appears without any clear meaning¢ even in transitive examples with other accusative-marked nominal objects.,YES,cid atobaig dó,what impels you to it?,Wb.19d10,YES,N/A,YES?,attaig Isac ac lamachtad a láimí,Isaac began touching his hands.,BB 236b18,NO,This is the only example of a non-reflexive intransitive.
ad-comla,COMPOUND,add/join/unite,https://dil.ie/400,direct reflexive/anticausative,PRONOMINAL,N/A,YES,innahisiu adrochomul,these that it joined,Ml.58b12,YES,N/A,YES?,adcomla friu fessin in fect so,‘He joins Himself to them now.,Wb.3c13,YES,The example is actually unclear. It may be that adcomla is an unconventional spelling for atcomla¢ where the reflexive infixed pronoun is clearly marked.
ad-intai,COMPOUND,return,https://dil.ie/473,translational motion,PRONOMINAL,N/A,NO,N/A,N/A,N/A,N/A,ONLY ATTESTED TWICE IN EDIL¢ BOTH REFLEXIVE.,NO,N/A,N/A,N/A,N/A,ONLY ATTESTED TWICE IN EDIL¢ BOTH REFLEXIVE.
ad-opair,COMPOUND,offer,https://dil.ie/529,direct reflexive,PRONOMINAL,N/A,YES,adopart Crimthann in port-sin du Patricc ,Crimthann offered this place to Patrick.,POMIC:Arm.90,YES,N/A,NO,N/A,N/A,N/A,N/A,N/A
ad-suidi,COMPOUND,detain/restrain,https://dil.ie/579,direct reflexive,PRONOMINAL,N/A,YES,nach nastad in cretmech,Let the believer not detain him.,Wb.10a7,YES,N/A,NO,N/A,N/A,N/A,N/A,N/A
ar-cuibdig,COMPOUND_AIG,adapt,https://dil.ie/4038,direct reflexive,PRONOMINAL,N/A,N/A,N/A,N/A,N/A,N/A,This is a hapax legomenon.,N/A,N/A,N/A,N/A,N/A,N/A
ar-osailci,COMPOUND,open,https://dil.ie/4239¢ https://dil.ie/4241,anticausative,PRONOMINAL,N/A,YES,arosailcem ar n-ítige riam,We open our granaries before him.,Ml.98a4,YES,N/A,YES,co n-airsolg in loc hi mbōi corp Petair apstail,so that the place in which the body of Peter was opened up,Ériu.ii.192§1,NO,In Old Irish there are a few examples that may indicate an intransitive use without an infixed pronoun¢ but they are not certain¢ e.g. aranosailcea (Ml.36b8) ‘that he may open’.
armaid,SIMPLE,arm/equip/prepare,https://dil.ie/4189,grooming,PRONOMINAL,N/A,YES,ra harmait a n-airm,they equiped their weapons.,LL.232a31 (TTr.1109),NO,N/A,NO,N/A,N/A,N/A,N/A,N/A
as-beir,COMPOUND,say,https://dil.ie/4383,indirect reflexive,PREPOSITIONAL,N/A,N/A,N/A,N/A,N/A,N/A,Although there are transitive examples¢ they are not oppositional to the reflexive usage since the reflexive is marked on the indirect object or adjunct and can be accompanied by a direct object. In other words¢ the reflexive usage is not opposed to a transitive usage¢ but rather can be itself transitive.,NO,N/A,N/A,N/A,N/A,N/A
as-indet,COMPOUND,declare/tell/relate,https://dil.ie/4441,indirect reflexive,PREPOSITIONAL,N/A,N/A,N/A,N/A,N/A,N/A,Although there are transitive examples¢ they are not oppositional to the reflexive usage since the reflexive is marked on the indirect object or adjunct and can be accompanied by a direct object. In other words¢ the reflexive usage is not opposed to a transitive usage¢ but rather can be itself transitive.,NO,N/A,N/A,N/A,N/A,N/A
